pid,label,total_events,open_count,create_count,delete_count,encrypt_count,unique_files,open_ratio,delete_ratio,encrypt_ratio,events_per_ts
546250,0,13,13,0,0,0,1,1.0,0.0,0.0,0.00021661973239131522
547608,0,16,16,0,0,0,1,1.0,0.0,0.0,0.0002664890073284477
547607,0,16,16,0,0,0,1,1.0,0.0,0.0,0.0002664978846730404
851,0,126,0,0,0,0,1,0.0,0.0,0.0,0.0023333765440100743
553335,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.11069518716577541
553336,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
380,0,188,188,0,0,0,52,1.0,0.0,0.0,0.0032871155560995225
546259,0,6,6,0,0,0,1,1.0,0.0,0.0,0.00010906711262997164
1,0,30,30,0,0,0,17,1.0,0.0,0.0,0.0005527203051016084
770,0,68,67,0,0,0,12,0.9852941176470589,0.0,0.0,0.0013600272005440108
546257,0,6,6,0,0,0,1,1.0,0.0,0.0,0.00011830352741684248
553346,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.08497536945812807
553347,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
547399,0,88,88,0,0,0,4,1.0,0.0,0.0,0.0020937425648346417
553357,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.09574468085106383
553358,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553367,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.10107421875
553368,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553376,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.08671973188102221
553377,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553379,0,8,8,0,0,0,7,1.0,0.0,0.0,8.0
553380,0,8,8,0,0,0,7,1.0,0.0,0.0,8.0
547599,0,1,1,0,0,0,1,1.0,0.0,0.0,1.0
553381,0,36,36,0,0,0,33,1.0,0.0,0.0,18.0
553390,0,207,143,0,0,0,88,0.6908212560386473,0.0,0.0,0.1751269035532995
553391,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
553400,0,210,143,0,0,0,88,0.680952380952381,0.0,0.0,0.1080802882141019
553401,0,31,1,0,0,0,2,0.03225806451612903,0.0,0.0,31.0
